1ID,Abbr,Full,Source
254,ActaAth,Skrifter utgivna av Svenska Institutet i Athen (Acta Instituti Atheniensis Regni Sueciae) (formerly SkrAth),AJA
255,ActaInstRomFin,Acta Instituti romani Finlandiae,AJA
256,ActaLund,Acta Universitatis Lundensis,AJA
257,ActaNum,Acta numismatica,AJA
258,ActaOrHung,Acta orientalia Academiae scientiarum Hungaricae,AJA
259,ActaRom,Skrifter utgivna av Svenska Institutet i Rom (Acta Instituti Romani Regni Sueciae) (formerly SkrRom),AJA
260,ADAJ,Annual of the Department of Antiquities of Jordan,AJA
261,AdI,Annali dell’Istituto di corrispondenza archeologica,AJA
262,Aegaeum,Aegaeum: Annales d’archéologie égéenne de l’Université de Liège,AJA
263,ÄgForsch,Ägyptologische Forschungen,AJA
264,AEM,Archäologisch epigraphische Mitteilungen aus Österreich-Ungarn,AJA
265,AeR,Atene e Roma,AJA
266,Aevum,Aevum: Rassegna di scienze storiche, linguistiche e filologiche,AJA
267,AF,Archäologische Forschungen,AJA
268,AfO,Archiv für Orientforschung,AJA
269,Africa,Africa: Institut national d’Archéologie et d’Art (Tunis),AJA
270,AfrIt,Africa italiana,AJA
271,AfrRom,L’Africa romana,AJA
272,Agora,Athenian Agora (Princeton 1953– ),AJA
273,AgoraPicBk,Excavations of the Athenian Agora: Picture Book (Princeton 1958– ),AJA
274,AHR,American Historical Review,AJA
275,AIABull,Bulletin of the Archaeological Institute of America,AJA
276,AIANews,Newsletter of the Archaeological Institute of America,AJA
277,AIIN,Annali dell’Istituto Italiano di Numismatica,AJA
278,AION,Annali dell’Istituto universitario orientali di Napoli,AJA
279,AJA,American Journal of Archaeology,AJA
280,AJAH,American Journal of Ancient History,AJA
281,AJN,American Journal of Numismatics,AJA
282,AJP,American Journal of Philology,AJA
283,AJSL,American Journal of Semitic Languages and Literatures,AJA
284,Akkadica,Akkadica: Périodique bimestriel de la Fondation assyriologique Georges Dossin,AJA
285,Altertum,Das Altertum,AJA
286,AltO,Der alte Orient,AJA
